id	transcription	score
22	Syndrome turned up alone here. I don't know.	0
25	Children should not be allowed to stay out late to their parents.	1
18	Children should not be allowed to stay out late with their friends.	1
21	Children should not be allowed to stay late and out with their friends.	1
49	It should be not allowed to be late with his friend.	1
29	Children should not be allowed to stay that late with their friends.	1
24	Children should not stay out too late with their friends.	0
31	Children should not be allowed to stay out late with their parents.	1
36	Children are not supposed to go out at night.	1
50	Children should not be allowed to stay late with their friends.	1
19	Children should not be allowed to stay out late with their friends.	1
20	Children are not allowed to stay out late with their friends.	1
33	Children shouldn't be allowed to stay alone with their friends.	1
23	Children should not be allowed to stay out late with their friends.	1
54	Children should not be allowed to stay out late with their friends.	1
39	Children should not be allowed to stay out late with their friends.	1
35	should children should not be allowed to stay out late with their friends	1
40	Children should not be allowed to stay with their friends late.	1
16	Children should not be allowed to stay up late with their friends.	1
27	Children should not be allowed to stay out late with her friends.	1
13	"So, children are not allowed to leave the house without their parents."	1
48	Children shouldn't be allowed to stay out late without their parents' supervision.	1
52	Children should not allow to be with their friends.	0
38	Children are not allowed to stay out late with their friends.	1
15	Children should not be allowed to stay out with their friends.	1
57	Children should not be allowed to be late without parents.	1
59	Children should not be allowed to stay out late for midnight.	1
66	Children can stay out late with their friends as long as the safety is ensured.	1
42	Children should not be allowed to stay out late with their friends.	1
43	Usually should not be allowed to stay late with her dear friends.	1
47	Children should not be allowed to stay out late with their friends.	1
67	Children should not be allowed to stay outside.	1
61	Children should not be playing out late with their friends at home.	0
41	Children should not be allowed to stay out late with their friends.	1
70	Children should not be laid out with their friends.	1
56	Children are not allowed to stay so long time with their friends.	1
45	"Children should not be allowed to stay out, dear friends."	1
44	Children should not be allowed to stay out for a long time with his friends.	1
77	Children should not be allowed to stay out late with their friends.	1
37	Children are not allowed to stay out with their friends.	1
51	Children are not allowed to stay up late with their friends.	1
79	Children are not allowed to stay late with their friends.	1
81	Children should not stay out late with their friends.	0
68	Children should not be allowed to stay out late with their friends.	1
60	but children should not be allowed to be outside with their	1
62	Children are not allowed to stay up late with their friends.	1
84	Children should not be allowed to stay up late with their friends.	1
82	Children should not be allowed to stay out late with their friends.	1
32	Children shouldn't be allowed to stay out late with their friends.	1
64	Children should not allow to stay without their friends.	0
83	Children should not be allowed to stay at home with their friends.	1
80	Children should not be allowed to stay away late with their friends.	1
71	Children should not be allowed to stay out late with their friends.	1
74	Children should not stay out late with your friends.	0
85	children should not be allowed to stay out late with with her friends	1
